time,magnitude,e_magnitude,band,telescope
59252.20431709987,17.3971,0.0446428,sdssr,ZTF
59251.27549770009,17.1852,0.027680400000000004,sdssg,ZTF
59251.216261600144,17.326,0.0343157,sdssr,ZTF
59250.32848379994,17.389,0.0463701,sdssr,ZTF
59250.2566550998,17.2216,0.0403199,sdssg,ZTF
59249.31065970008,17.3247,0.038588300000000006,sdssr,ZTF
59249.219618100215,17.2079,0.0711013,sdssg,ZTF
59248.236898099996,17.3671,0.036561199999999995,sdssr,ZTF
59248.22854170018,17.1807,0.04169369999999999,sdssg,ZTF
59233.323391200036,17.0495,0.0272455,sdssg,ZTF
59233.27785879978,17.2433,0.0442746,sdssr,ZTF
59232.39452550002,17.0418,0.039741399999999996,sdssg,ZTF
59232.3723726999,17.3393,0.0582038,sdssr,ZTF
59231.31179400021,17.2509,0.0383773,sdssr,ZTF
59231.234178199906,17.0805,0.0313629,sdssg,ZTF
59230.32874999987,17.0754,0.051160699999999996,sdssg,ZTF
59230.24403940002,17.2567,0.041844900000000004,sdssr,ZTF
59229.333032399874,17.2589,0.037825,sdssr,ZTF
59229.22107640003,17.0999,0.0405853,sdssg,ZTF
59228.31863430003,17.3015,0.0390267,sdssr,ZTF
59228.265185200136,17.0899,0.0369379,sdssg,ZTF
59227.342106500175,17.0398,0.0380223,sdssg,ZTF
59227.29722219986,17.2332,0.0398517,sdssr,ZTF
59226.387256899856,17.075,0.039771499999999994,sdssg,ZTF
59225.23846059991,17.0778,0.038915,sdssg,ZTF
59224.2886806,17.2782,0.036296499999999995,sdssr,ZTF
59223.351828699924,17.0675,0.0337874,sdssg,ZTF
59223.29628469981,17.2572,0.0389014,sdssr,ZTF
59222.38295139978,17.0946,0.033947500000000005,sdssg,ZTF
59222.338796299875,17.3019,0.052006399999999994,sdssr,ZTF
59221.31847220008,17.0751,0.03321930000000001,sdssg,ZTF
59221.23460649978,17.246,0.0396105,sdssr,ZTF
59220.33935189992,17.0926,0.04441919999999999,sdssg,ZTF
59220.297824100126,17.3026,0.0396659,sdssr,ZTF
59219.302187500056,17.2686,0.037269300000000005,sdssr,ZTF
59219.27931710008,17.0838,0.027138799999999998,sdssg,ZTF
59218.402974499855,17.33,0.0420719,sdssr,ZTF
59218.26584490017,17.1165,0.0419548,sdssg,ZTF
59217.325949099846,17.2872,0.0372211,sdssr,ZTF
59216.423946800176,17.1255,0.0591334,sdssg,ZTF
59216.3162153,17.3176,0.0413733,sdssr,ZTF
59215.33726850013,17.1508,0.06427100000000001,sdssg,ZTF
59215.29775460018,17.2679,0.07470399999999999,sdssr,ZTF
59210.387604199816,17.3737,0.0426789,sdssr,ZTF
59210.26376160002,17.1397,0.0432409,sdssg,ZTF
59205.38077550009,17.2089,0.0501425,sdssg,ZTF
59205.31975689996,17.6703,0.049604300000000004,sdssr,ZTF
59205.301782399874,17.1856,0.031985900000000005,sdssg,ZTF
59205.21596059995,17.3942,0.0411577,sdssr,ZTF
59203.43358800002,17.421,0.036788,sdssr,ZTF
59203.43168980022,17.4856,0.051289499999999995,sdssr,ZTF
59203.344803200096,17.2942,0.037710400000000005,sdssg,ZTF
59203.31333329994,17.3038,0.0314075,sdssg,ZTF
59201.45825230004,17.4642,0.03688230000000001,sdssr,ZTF
59201.412696800195,17.3021,0.028551499999999997,sdssg,ZTF
59200.432094899945,17.3306,0.049766000000000005,sdssg,ZTF
59200.34255790013,17.5363,0.0808067,sdssr,ZTF
59199.42486110004,17.3641,0.0280118,sdssg,ZTF
59199.29966440005,17.5162,0.0498759,sdssr,ZTF
59198.42972220015,17.593,0.043336400000000004,sdssr,ZTF
59196.4234491,17.4622,0.0526265,sdssg,ZTF
59196.39431709983,17.5823,0.0381151,sdssr,ZTF
59195.47921299982,17.6294,0.0478048,sdssr,ZTF
59193.49917820003,17.7335,0.0607298,sdssr,ZTF
59193.43490740005,17.5325,0.033035699999999994,sdssg,ZTF
59193.357210599825,17.5452,0.036766599999999997,sdssg,ZTF
59193.30800929992,17.6844,0.0515224,sdssr,ZTF
59190.436458299875,17.6012,0.230988,sdssr,ZTF
59190.37040509983,17.6846,0.047456,sdssg,ZTF
59188.44581020017,17.8192,0.0526876,sdssg,ZTF
59188.44534720015,17.8029,0.05267569999999999,sdssg,ZTF
59188.3682754999,17.9218,0.059263199999999995,sdssr,ZTF
59184.48084490001,18.1081,0.07713880000000001,sdssr,ZTF
59184.464363399886,18.1627,0.0687567,sdssr,ZTF
59184.43605320017,18.0118,0.07095139999999998,sdssg,ZTF
59184.42944440013,18.0323,0.0626871,sdssg,ZTF
59182.52979170019,18.0496,0.08038510000000001,sdssg,ZTF
59182.529328700155,18.1467,0.0816841,sdssg,ZTF
59182.464363399886,18.2195,0.0583414,sdssr,ZTF
59182.46390049997,18.1999,0.0721215,sdssr,ZTF
59180.53927080008,18.427,0.138151,sdssr,ZTF
59180.496724499855,18.1928,0.06666699999999999,sdssg,ZTF
59180.49624999985,18.2154,0.07869789999999999,sdssg,ZTF
59180.45173610003,18.4085,0.0794327,sdssr,ZTF
59178.54074069997,18.5055,0.0664959,sdssr,ZTF
59177.51675930014,18.4132,0.06324919999999999,sdssg,ZTF
59175.421458300196,18.6758,0.19853900000000002,sdssg,ZTF
59173.443136599846,18.8067,0.095567,sdssg,ZTF
59171.47795139997,19.1212,0.09625299999999999,sdssr,ZTF
59171.41682869988,19.0093,0.0681982,sdssg,ZTF
59170.40424769978,19.2217,0.085771,sdssr,ZTF
59169.505590300076,19.2768,0.12284,sdssr,ZTF
59169.46834489983,19.2654,0.0893691,sdssg,ZTF
59168.47832180001,19.3171,0.08691560000000001,sdssg,ZTF
59168.4364120001,19.5306,0.112273,sdssr,ZTF
59167.50651620002,19.4338,0.11623199999999999,sdssg,ZTF
59167.47072920018,19.6557,0.13226,sdssr,ZTF
59165.44409719994,19.7101,0.112864,sdssg,ZTF
59165.42208330008,19.9529,0.150876,sdssr,ZTF
59165.421620400164,19.7021,0.12709,sdssr,ZTF
59165.39381940012,19.7678,0.11763900000000001,sdssg,ZTF
59163.50327550016,20.0125,0.152185,sdssr,ZTF
59163.44048610004,19.8405,0.150131,sdssg,ZTF
59157.47938660019,19.7576,0.281659,sdssr,ZTF
59157.39954859996,19.8317,0.351813,sdssg,ZTF
59157.39908559992,19.8482,0.328337,sdssg,ZTF
59155.411944400046,20.0338,0.31426,sdssg,ZTF
59145.6,22.620291597552814,3.553846153846154,o,ATLAS
59147.58,21.676745743734223,1.532258064516129,c,ATLAS
59153.56,21.826740567922435,3.2407407407407405,o,ATLAS
59163.56,20.311583733468346,0.481651376146789,o,ATLAS
59175.62,18.681877830510853,0.11247443762781187,c,ATLAS
59179.52,18.558198582108982,0.11405109489051095,o,ATLAS
59181.34,18.41892986167198,0.3191011235955056,o,ATLAS
59183.42,18.0701670687418,0.17171129220023285,o,ATLAS
59189.47,17.99723932399924,0.09426568554883094,o,ATLAS
59191.46,17.823603076193105,0.05797773654916512,o,ATLAS
59192.48,17.626993694172242,0.04256965944272446,c,ATLAS
59193.55,17.756241433566736,0.04359197907585004,o,ATLAS
59195.56,17.522137728109193,0.0359803232607168,c,ATLAS
59197.41,17.4605875486582,0.0348605577689243,c,ATLAS
59205.52,17.298796407573946,0.029290617848970253,c,ATLAS
59207.43,17.399610538817075,0.051789077212806026,o,ATLAS
